,Name,Discounted Price,Actual Price,Saving,Rating,Reviews,Brand,Core,SSD,Model
41,HP 15-FD0647TU Ci5-1334U (8GB-512GB SSD),145999.0,200000.0,27% OFF,,,HP,,8GB-512GB SSD,15-FD0647TU Ci5-1334U
42,HP OMNIBOOK ULTRA FLIP 14-FH0033DX ULTRA 9-288V (32GB-2TB SSD),504999.0,545000.0,7% OFF,,,HP,,,OMNIBOOK ULTRA FLIP 14-FH0033DX ULTRA 9-288V
43,HP Laptop EQ2180AU 15.6 Inches AMD Ryzen 5 (8GB RAM - 512GBSSD),194999.0,219999.0,11% OFF,,,HP,Ryzen 5,512GBSSD,Laptop EQ2180AU 15.6 Inches AMD Ryzen 5
44,Lenovo ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS (8GB - 512GB),242999.0,299999.0,19% OFF,,,Lenovo,Core i7,,ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS
45,HP Probook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) Local,194999.0,299999.0,35% OFF,5,1,HP,Core i7,,Probook 450 G9 15.6 Inches 12th Gen Core i7 DOS  Local
46,HP Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home (8GB - 512GB),199999.0,299999.0,33% OFF,,,HP,Core i5,,Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home
47,HP Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11 (8GB - 512GB),258999.0,324999.0,20% OFF,,,HP,Core i5,,Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11
48,HP Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11 (16GB - 512GB),409999.0,449999.0,9% OFF,,,HP,Core i5,,Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11
49,Apple Macbook Pro MRX33 M3 Pro 14 (18GB-512GB) Black,554999.0,600000.0,8% OFF,,,Apple,M3,,Macbook Pro MRX33 M3 Pro 14  Black
50,Apple MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,354999.0,400000.0,11% OFF,,,Apple,M2,,MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB
51,Lenovo ThinkBook16 - Ci5-1335U (8GB 512GB),161599.0,225000.0,28% OFF,,,Lenovo,,,ThinkBook16 - Ci5-1335U
52,HP Spectre 14-EU0008NI Ultra 7 (16GB 1TB) Oled Plus HP PEN,464999.0,480000.0,3% OFF,,,HP,Ultra 7,,Spectre 14-EU0008NI Ultra 7  Oled Plus HP PEN
53,HP ProBook 440 G10 13th Gen Core i5 14 inches (8GB-512GB),187999.0,200000.0,6% OFF,,,HP,Core i5,,ProBook 440 G10 13th Gen Core i5 14 inches
54,HP ENVY 14-ES1013DX 14th Gen Core 5 120U (8GB-512GB SSD) x360 Touch,169999.0,200000.0,15% OFF,5,1,HP,,8GB-512GB SSD,ENVY 14-ES1013DX 14th Gen Core 5 120U  x360 Touch
55,Lenovo ThinkPad E14 G5 13th Gen Core i7 1355U (8GB-512GB),285999.0,310000.0,8% OFF,,,Lenovo,Core i7,,ThinkPad E14 G5 13th Gen Core i7 1355U
56,HP Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7,346999.0,380000.0,9% OFF,,,HP,Core i7,,Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7
57,Dell Vostro 15 3530 13th Gen Core i5 1334u,142999.0,180000.0,21% OFF,5,1,Dell,Core i5,,Vostro 15 3530 13th Gen Core i5 1334u
58,Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 5 (8GB-512GB),243999.0,275000.0,11% OFF,,,Lenovo,Ultra 5,,ThinkPad E16 Gen 2 - Intel Core Ultra 5
59,Lenovo Thinkpad  T14 13th Gen Core I7 DOS,388999.0,400000.0,3% OFF,,,Lenovo,,,Thinkpad  T14 13th Gen Core I7 DOS
60,HP Probook 440 G11 Ultra 7 155u,227999.0,275000.0,17% OFF,,,HP,Ultra 7,,Probook 440 G11 Ultra 7 155u
61,Infinix INBOOK Y3H Plus (YL513H) Core i5 12450H (16GB - 512GB),159999.0,169999.0,6% OFF,,,Infinix,Core i5,,INBOOK Y3H Plus
62,HP VICTUS 15-FB3093DX  R7-7445HS (16GB 512GB) RTX-4050-6GB,244999.0,288999.0,15% OFF,,,HP,,,VICTUS 15-FB3093DX  R7-7445HS  RTX-4050-6GB
63,HP OMNIBOOK 14 FP0023DX Core 7 150U (16GB-512GB),217999.0,255000.0,15% OFF,,,HP,,,OMNIBOOK 14 FP0023DX Core 7 150U
64,Lenovo IdeaPad Slim 5 Ultra 5 125H (16GB-512GB) DOS,199999.0,224999.0,11% OFF,,,Lenovo,Ultra 5,,IdeaPad Slim 5 Ultra 5 125H  DOS
65,Lenovo IdeaPad Slim 5 Ultra 7 155H (16GB-512GB) DOS,256999.0,280000.0,8% OFF,,,Lenovo,Ultra 7,,IdeaPad Slim 5 Ultra 7 155H  DOS
66,Lenovo loq 15 13th Core i7 13650hx (24GB-512GB) DOS,324999.0,355000.0,8% OFF,5,1,Lenovo,Core i7,,loq 15 13th Core i7 13650hx  DOS
67,HP Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen (4GB-256GB),110999.0,119000.0,7% OFF,5,1,HP,Core i3,,Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen
68,LENOVO LOQ 15 Ci7 13650HX,300999.0,349000.0,14% OFF,,,LENOVO,,,LOQ 15 Ci7 13650HX
69,LENOVO LOQ 15 Core i7 14650HX,376999.0,424999.0,11% OFF,,,LENOVO,Core i7,,LOQ 15 Core i7 14650HX
70,"HP 15S-FQ5000NIA Ci3-1215U (4GB, 256GB SSD)",101999.0,149000.0,32% OFF,,,HP,,256GB SSD,15S-FQ5000NIA Ci3-1215U
71,Lenovo Legion 5 Ci7-14650HX (16GB-1TB SSD) RTX 4050 6GB,381999.0,429999.0,11% OFF,,,Lenovo,,,Legion 5 Ci7-14650HX  RTX 4050 6GB
72,Lenovo Legion Pro 5 Ultra 9-275HX (32GB-1TB SSD) RTX 5070 8GB,696999.0,745000.0,6% OFF,,,Lenovo,Ultra 9,,Legion Pro 5 Ultra 9-275HX  RTX 5070 8GB
73,ASUS TUF GAMING F15-FX507VV Ci7-13620H (16GB-512GB SSD) RTX 4060 8GB,359999.0,400000.0,10% OFF,,,ASUS,,16GB-512GB SSD,TUF GAMING F15-FX507VV Ci7-13620H  RTX 4060 8GB
74,ASUS TUF GAMING A14 FA-401WU RYZEN AI 9 HX370 (32GB-1TB SSD) RTX 4050 6GB,501999.0,549000.0,9% OFF,,,ASUS,,,TUF GAMING A14 FA-401WU RYZEN AI 9 HX370  RTX 4050 6GB
75,ASUS EXPERTBOOK B3402FBA Ci5 1235U (8GB-512GB SSD),169999.0,230000.0,26% OFF,,,ASUS,,8GB-512GB SSD,EXPERTBOOK B3402FBA Ci5 1235U
76,Asus ExpertBook B3402FVA Ci7 1355U (16GB-512GB SSD),209999.0,260000.0,19% OFF,,,Asus,,16GB-512GB SSD,ExpertBook B3402FVA Ci7 1355U
77,Lenovo ThinkPad E16 G3 Ultra 7 255H (16GB-512GB SSD),293999.0,340000.0,14% OFF,,,Lenovo,Ultra 7,16GB-512GB SSD,ThinkPad E16 G3 Ultra 7 255H
78,Dell Alienware 16X Aurora AC16251 Ultra 9-275HX (16GB-1TB SSD) RTX 5070 8GB,645999.0,750000.0,14% OFF,,,Dell,Ultra 9,,Alienware 16X Aurora AC16251 Ultra 9-275HX  RTX 5070 8GB
79,HP 15 FD0647TU 13th Generation Ci5-1334U (8GB-512GB SSD),139999.0,170000.0,18% OFF,,,HP,,8GB-512GB SSD,15 FD0647TU 13th Generation Ci5-1334U
80,HP OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V (32GB-2TB SSD),403999.0,445000.0,9% OFF,,,HP,,,OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V
81,Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS (8GB - 512GB),230999.0,309999.0,25% OFF,,,Lenovo,Core i7,,ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS
82,HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS (8GB - 512GB),199999.0,239999.0,17% OFF,,,HP,Core i5,,ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS
83,HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS,179999.0,210000.0,14% OFF,5,1,HP,Core i5,,ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS
84,HP ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) International,186999.0,259999.0,28% OFF,,,HP,Core i7,,ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS  International
85,Lenovo Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS (8GB - 1TB),204999.0,219999.0,7% OFF,,,Lenovo,Core i5,,Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS
86,HP 15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11 (8GB - 512GB),191999.0,234999.0,18% OFF,,,HP,Ryzen 5,,15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11
87,Lenovo V15 G3-Ci5 12th (8GB 512GB SSD),132999.0,199999.0,34% OFF,,,Lenovo,,512GB SSD,V15 G3-Ci5 12th
88,HP 250 G10 Raptor Lake 13th Gen Core i5 (8GB-512GB SSD),148999.0,185000.0,19% OFF,,,HP,Core i5,8GB-512GB SSD,250 G10 Raptor Lake 13th Gen Core i5
89,HP Probook 450 G10 13th Gen Core i7 (8GB-512GB),214999.0,240000.0,10% OFF,,,HP,Core i7,,Probook 450 G10 13th Gen Core i7
90,Lenovo ThinkBook 16 Ci3-1305U (8GB-512GB SSD),127999.0,200000.0,36% OFF,,,Lenovo,,8GB-512GB SSD,ThinkBook 16 Ci3-1305U
91,Lenovo ThinkbooK 14 13th Core i5,165488.0,200000.0,17% OFF,,,Lenovo,Core i5,,ThinkbooK 14 13th Core i5
92,Lenovo Thinkbook 14 14th Gen Core 7 8GB/512GB,225999.0,300000.0,25% OFF,,,Lenovo,,,Thinkbook 14 14th Gen Core 7 8GB/512GB
93,Lenovo V15 G4 Core i5 13th Generation,145999.0,150000.0,3% OFF,,,Lenovo,Core i5,,V15 G4 Core i5 13th Generation
94,HP EliteBook 640 G10 13th Gen Core i7 14 inches (16GB-512GB),247999.0,300000.0,17% OFF,,,HP,Core i7,,EliteBook 640 G10 13th Gen Core i7 14 inches
95,Lenovo Ideapad Slim 3 13th Gen Core i7 DOS(16GB-512GB),168999.0,200000.0,16% OFF,,,Lenovo,Core i7,,Ideapad Slim 3 13th Gen Core i7 DOS
96,Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i5  (8GB - 512GB),237999.0,250000.0,5% OFF,,,Lenovo,Core i5,,ThinkPad E16 G1 14 Inches 13th Gen Core i5
97,Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i5 (8GB - 512GB),237999.0,250000.0,5% OFF,,,Lenovo,Core i5,,ThinkPad E16 G1 15.6 Inches 13th Gen Core i5
98,HP EliteBook 640 G10 13th Gen Core i5 14 inches (8GB-512GB),199999.0,230000.0,13% OFF,,,HP,Core i5,,EliteBook 640 G10 13th Gen Core i5 14 inches
99,HP ENVY x360 14 ES1023dx 14th Gen Core 7 (16GB-512GB),233999.0,250000.0,6% OFF,,,HP,,,ENVY x360 14 ES1023dx 14th Gen Core 7
100,HP Laptop 15-fd0356nia  Core™ i5 DOS (8GB-512GB),141999.0,200000.0,29% OFF,,,HP,,,Laptop 15-fd0356nia  Core™ i5 DOS
101,Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 7 (16GB-1TB),261999.0,370000.0,29% OFF,,,Lenovo,Ultra 7,,Yoga 7 2 in 1 16 - Intel Core Ultra 7
102,Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD),171999.0,200000.0,14% OFF,,,Dell,,8GB-256GB SSD,Latitude 3540 Ci5-1335U
103,Dell Inspiron 14-7440 CORE7 150U,221999.0,290000.0,23% OFF,,,Dell,,,Inspiron 14-7440 CORE7 150U
104,ASUS EXPERTBOOK B1503CVA Ci7 1355U (16GB-512GB SSD),181999.0,200000.0,9% OFF,,,ASUS,,16GB-512GB SSD,EXPERTBOOK B1503CVA Ci7 1355U
105,HP PROBOOK 440 G11 Ultra 5 125u,216999.0,235000.0,8% OFF,,,HP,Ultra 5,,PROBOOK 440 G11 Ultra 5 125u
106,Lenovo ThinkBook 16 Ultra 7 255H (8GB-512GB SSD),251999.0,280000.0,10% OFF,,,Lenovo,Ultra 7,8GB-512GB SSD,ThinkBook 16 Ultra 7 255H
107,HP OMEN 16-AE0073CL Ci7-14650HX (32GB - 1TB) RTX-4060-8GB,433999.0,460000.0,6% OFF,,,HP,,,OMEN 16-AE0073CL Ci7-14650HX  RTX-4060-8GB
108,ASUS ROG STRIX G614J 13TH CI7 13650HX (32GB-1TB SSD),378999.0,399999.0,5% OFF,,,ASUS,,,ROG STRIX G614J 13TH CI7 13650HX
109,Dell Latitude 5450 14th Gen Core Ultra 7 (8GB-512GB SSD),327999.0,369999.0,11% OFF,,,Dell,Ultra 7,8GB-512GB SSD,Latitude 5450 14th Gen Core Ultra 7
110,DELL LATTITUDE 5550 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),304999.0,340000.0,10% OFF,,,DELL,Ultra 5,8GB-512GB SSD,LATTITUDE 5550 14TH GEN Core Ultra 5 125U
111,Lenovo IdeaPad Slim 5 2in1 Core i513420H (16GB-512GB) DOS,221999.0,250000.0,11% OFF,,,Lenovo,Core i513420,,IdeaPad Slim 5 2in1 Core i513420H  DOS
112,HP 15S FC0298AU Notebook AMD Ryzen 5 7430U,133999.0,140500.0,5% OFF,5,1,HP,Ryzen 5,,15S FC0298AU Notebook AMD Ryzen 5 7430U
113,ASUS Zenbook 14 UX3405C Intel Core Ultra 9 285H (32GB-1TB SSD),389999.0,499999.0,22% OFF,,,ASUS,Ultra 9,,Zenbook 14 UX3405C Intel Core Ultra 9 285H
114,HP OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V (16GB 1TB SSD),259999.0,290000.0,10% OFF,,,HP,Ultra 7,,OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V
115,LENOVO LEGION PRO 5 Ci9-14900HX (32GB-1TB SSD) RTX 4070 8GB,629999.0,699999.0,10% OFF,,,LENOVO,,,LEGION PRO 5 Ci9-14900HX  RTX 4070 8GB
116,Lenovo Legion Pro 5 Ultra 7-255HX (32GB-1TB SSD) RTX 5060 8GB,622999.0,670000.0,7% OFF,,,Lenovo,Ultra 7,,Legion Pro 5 Ultra 7-255HX  RTX 5060 8GB
117,ASUS TUF GAMING F17 FX707VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,327999.0,375000.0,13% OFF,,,ASUS,,16GB-512GB SSD,TUF GAMING F17 FX707VU Ci7-13620H  RTX 4050 6GB
118,ACER PREDATOR HELIOS 18 AI Core Ultra 9 275HX (64GB-1TB SSD) RTX 5080 16GB,995999.0,1050000.0,5% OFF,,,ACER,Ultra 9,,PREDATOR HELIOS 18 AI Core Ultra 9 275HX  RTX 5080 16GB
119,ASUS ROG STRIX G16 G615JMR Ci7 14650HX (16GB-1TB SSD) RTX 5060 8GB,449999.0,570000.0,21% OFF,,,ASUS,,,ROG STRIX G16 G615JMR Ci7 14650HX  RTX 5060 8GB
120,Asus Expertbook B1403CVA Ci7 13620H (16GB-1TB SSD),194999.0,245000.0,20% OFF,,,Asus,,,Expertbook B1403CVA Ci7 13620H
121,Lenovo ThinkPad E14 G8 U5-225H (8GB-512GB SSD),244999.0,300000.0,18% OFF,,,Lenovo,,8GB-512GB SSD,ThinkPad E14 G8 U5-225H
122,Lenovo ThinkPad T14 G6 Ultra 7 225U (16GB-512GB SSD),414999.0,485000.0,14% OFF,,,Lenovo,Ultra 7,16GB-512GB SSD,ThinkPad T14 G6 Ultra 7 225U
123,Acer Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook (16GB-1TB SSD),502999.0,599999.0,16% OFF,,,Acer,,,Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook
124,ASUS TUF F16 FX608LM Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,549999.0,600000.0,8% OFF,,,ASUS,Ultra 9,,TUF F16 FX608LM Ultra 9-275HX  RTX 5060 8GB
125,Asus VivoBook 15 x1504VA Ci5 1335U (8GB-512GB SSD),149999.0,200000.0,25% OFF,,,Asus,,8GB-512GB SSD,VivoBook 15 x1504VA Ci5 1335U
126,Lenovo Legion 5 Ci9-14900HX (32GB-1TB SSD) RTX 5070 8GB,599999.0,650000.0,8% OFF,,,Lenovo,,,Legion 5 Ci9-14900HX  RTX 5070 8GB
127,HP Victus 15-FA2787NR Core i7-13620H Gaming Laptop (16GB-512GB SSD) RTX 5060 8GB,351999.0,380000.0,7% OFF,,,HP,Core i7,16GB-512GB SSD,Victus 15-FA2787NR Core i7-13620H Gaming Laptop  RTX 5060 8GB
128,HP Victus 15-FA2209TX Ci7 14650HX (16GB-512GB SSD) RTX-4050-6GB,337999.0,390000.0,13% OFF,,,HP,,16GB-512GB SSD,Victus 15-FA2209TX Ci7 14650HX  RTX-4050-6GB
129,Apple Macbook Air 13 MW0W3 M4,286999.0,299999.0,4% OFF,,,Apple,M4,,Macbook Air 13 MW0W3 M4
130,Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 256GB),176999.0,249999.0,29% OFF,,,Lenovo,Core i7,,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS
131,Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),202999.0,254999.0,20% OFF,,,Lenovo,Core i7,,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS
132,Lenovo ThinkPad X1 Carbon G12 Ultra 7 (32GB-512GB SSD),549999.0,609999.0,10% OFF,,,Lenovo,Ultra 7,32GB-512GB SSD,ThinkPad X1 Carbon G12 Ultra 7
133,HP Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11 (16GB - 512GB),339999.0,369999.0,8% OFF,,,HP,Core i7,,Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11
134,HP VICTUS 15-FA2093DX Ci7-13620H (16GB-1TB SSD) RTX 5060 8GB,357999.0,539999.0,34% OFF,,,HP,,,VICTUS 15-FA2093DX Ci7-13620H  RTX 5060 8GB
135,Lenovo Ideapad Slim 3 13th Gen Core i3 DOS,101999.0,129999.0,22% OFF,,,Lenovo,Core i3,,Ideapad Slim 3 13th Gen Core i3 DOS
136,ASUS EXPERTBOOK B1503CVA Ci5-1334U (16GB -512GB SSD),153999.0,200000.0,23% OFF,,,ASUS,,16GB -512GB SSD,EXPERTBOOK B1503CVA Ci5-1334U
137,ASUS TUF FX507VV-Ci7-13620H (16GB 1TB) RTX 4060 8GB,356999.0,400000.0,11% OFF,,,ASUS,,,TUF FX507VV-Ci7-13620H  RTX 4060 8GB
138,Lenovo Thinkbook 16 14th Core 7 (8GB-512GB SSD),229999.0,350000.0,34% OFF,,,Lenovo,,8GB-512GB SSD,Thinkbook 16 14th Core 7
139,Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i7 (16GB - 512GB),254999.0,300000.0,15% OFF,,,Lenovo,Core i7,,ThinkPad E16 G1 15.6 Inches 13th Gen Core i7
140,Lenovo ThinkPad E14 G5 13th Gen Core i5 1335u (8GB-512GB),243999.0,290000.0,16% OFF,,,Lenovo,Core i5,,ThinkPad E14 G5 13th Gen Core i5 1335u
